Article author,Comments,Barrier/enabler,Domain,CFIR Construct 1
"Hanna, 2013","Regardless of their personal willingness to consider ICTmediated consultations with patients, the majority ofGPs did not foresee a shift to routine e-consulting in the near future:
I can’t imagine it would be particularly popular for a long time. (GP34: male, 3039 years, metropolitan practice)
Traditionally it has been that patients go and see their doctor so perhaps with the new generation, things might slowly change...I’m sure it will happen but Idon’t think it will happen very quickly. Probably in the next 20, 25 years probably. (GP21: male, aged 5059 years, metropolitan practice)",Barrier,Individuals,D. Motivation
"Hanna, 2013","The majority of participants identified medico-legal concerns and the current lack of potential reimbursement for e-consultations as key practical barriers to their immediate routine use: If weâ€™re going to start doing electronic media consultations, then there should be a fee available for it and thatâ€™s one of the reasons doctors donâ€™t like it because they donâ€™t get paid for it.(GP14: male, aged 4049 years, regional practice) It all comes down to money and dollars, doesnâ€™t it? (GP12: male, aged 3039 years, rural practice) There is the issue of confidentiality and legality and privacy...[but] it is surmountable as soon as the IT people can work out encryption procedures. (GP1: male, aged 5059 years, regional practice)",Barrier,Outer setting,E. Policies & Laws
"Hanna, 2013","The majority of participants identified medico-legal concerns and the current lack of potential reimbursement for e-consultations as key practical barriers to their immediate routine use: If weâ€™re going to start doing electronic media consultations, then there should be a fee available for it and thatâ€™s one of the reasons doctors donâ€™t like it because they donâ€™t get paid for it.(GP14: male, aged 4049 years, regional practice) It all comes down to money and dollars, doesnâ€™t it? (GP12: male, aged 3039 years, rural practice) There is the issue of confidentiality and legality and privacy...[but] it is surmountable as soon as the IT people can work out encryption procedures. (GP1: male, aged 5059 years, regional practice)",Barrier,Outer setting,F. Financing
"Hanna, 2013","Some participants were supportive of the potential introduction of routine ICT-mediated consultations into their daily practice. For example, some GPs felt that patients would welcome the introduction of e-consulting: I think that the patients would love it and I as a patient, as a consumer, would love it.(GP7: Female, aged 40-49 years, metropolitan practice) Other GPs emphasised the benefits to practice efficiency and patient care: Look I think any move that we can to increase efficiency of our general practice workforce and therefore make the most of the precious appointments that are available to patients, anything that we can do along those lines is going to be good for the community. (GP3: Female, aged 40-49 years, regional practice)",Enabler,Innovation,C. Innovation Relative Advantage
"Hanna, 2013","Some participants were supportive of the potential introduction of routine ICT-mediated consultations into their daily practice. For example, some GPs felt that patients would welcome the introduction of e-consulting: I think that the patients would love it and I as a patient, as a consumer, would love it.(GP7: Female, aged 40-49 years, metropolitan practice) Other GPs emphasised the benefits to practice efficiency and patient care: Look I think any move that we can to increase efficiency of our general practice workforce and therefore make the most of the precious appointments that are available to patients, anything that we can do along those lines is going to be good for the community. (GP3: Female, aged 40-49 years, regional practice)",Enabler,Innovation,Preference
"Hanna, 2013","Some participants were supportive of the potential introduction of routine ICT-mediated consultations into their daily practice. For example, some GPs felt that patients would welcome the introduction of e-consulting: I think that the patients would love it and I as a patient, as a consumer, would love it.(GP7: Female, aged 40-49 years, metropolitan practice) Other GPs emphasised the benefits to practice efficiency and patient care: Look I think any move that we can to increase efficiency of our general practice workforce and therefore make the most of the precious appointments that are available to patients, anything that we can do along those lines is going to be good for the community. (GP3: Female, aged 40-49 years, regional practice)",Enabler,Inner setting,A3. Work Infrastructure
"Hanna, 2013","Some participants were supportive of the potential introduction of routine ICT-mediated consultations into their daily practice. For example, some GPs felt that patients would welcome the introduction of e-consulting: I think that the patients would love it and I as a patient, as a consumer, would love it.(GP7: Female, aged 40-49 years, metropolitan practice) Other GPs emphasised the benefits to practice efficiency and patient care: Look I think any move that we can to increase efficiency of our general practice workforce and therefore make the most of the precious appointments that are available to patients, anything that we can do along those lines is going to be good for the community. (GP3: Female, aged 40-49 years, regional practice)",Enabler,Individuals,C. Opportunity
"Hanna, 2013","Others, however, were concerned about the appropriateness of ICT-mediated technologies for their patients. For example, some GPs identified a perceived lack of ICT literacy amongst their older patients or those from culturally and linguistically diverse backgrounds: The biggest obstacle will be older people. (GP1: male, aged5059 years, regional practice) In my practice, itâ€™s a young population, everyone email and texting and what have you, but in other areas, for instance where I also work, weâ€™ve got a lot of oldies who no way...old Greek women, no way they could embrace this type of technology. They donâ€™t even understand mobile phones. It probably would be the elderly population, even the down and out always seem to have a mobile or a computer. (GP13: male, aged 60+ years, metropolitan practice",Barrier,Individuals,I. Innovation Recipients 
"Hanna, 2013","Others, however, were concerned about the appropriateness of ICT-mediated technologies for their patients. For example, some GPs identified a perceived lack of ICT literacy amongst their older patients or those from culturally and linguistically diverse backgrounds: The biggest obstacle will be older people. (GP1: male, aged5059 years, regional practice) In my practice, itâ€™s a young population, everyone email and texting and what have you, but in other areas, for instance where I also work, weâ€™ve got a lot of oldies who no way...old Greek women, no way they could embrace this type of technology. They donâ€™t even understand mobile phones. It probably would be the elderly population, even the down and out always seem to have a mobile or a computer. (GP13: male, aged 60+ years, metropolitan practice",Barrier,Individuals,B. Capability
"Hanna, 2013","Residential aged care: GPs described barriers specific to telehealth consultations within RACFs. These included issues with billing rules, which state that patients must be seen directly, which posed a challenge when a nurse often had to facilitate a telehealth call. ""â€¦billing is a problem. So unless you speak to the patient directly or if you video the patient directly, you canâ€™t bill Medicare. And sometimes during that process and having a nurse carrying a phone around or a computer around, following infection control protocols these days is impactful and I wonder whether thatâ€™s another barrier as well."" (P2)",Barrier,Outer setting,E. Policies & Laws
"Hanna, 2013","Residential aged care: GPs described barriers specific to telehealth consultations within RACFs. These included issues with billing rules, which state that patients must be seen directly, which posed a challenge when a nurse often had to facilitate a telehealth call. ""â€¦billing is a problem. So unless you speak to the patient directly or if you video the patient directly, you canâ€™t bill Medicare. And sometimes during that process and having a nurse carrying a phone around or a computer around, following infection control protocols these days is impactful and I wonder whether thatâ€™s another barrier as well."" (P2)",Barrier,Outer setting,F. Financing
"Hanna, 2013","Residential aged care: GPs described barriers specific to telehealth consultations within RACFs. These included issues with billing rules, which state that patients must be seen directly, which posed a challenge when a nurse often had to facilitate a telehealth call. ""â€¦billing is a problem. So unless you speak to the patient directly or if you video the patient directly, you canâ€™t bill Medicare. And sometimes during that process and having a nurse carrying a phone around or a computer around, following infection control protocols these days is impactful and I wonder whether thatâ€™s another barrier as well."" (P2)",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Hanna, 2013","Other factors included the preferred mode of consult for both patients and RACF staff, as well as the need to have notes transferred from the GP to the RACFâ€™s software, which may not be accessible by GPs offsite. ""Iâ€™ve got a lot in aged care that are very competent to do that, but it still does then involve a follow up call to the facility. So whatever we do still needs to be interpreted and passed on and certainly the notes need to be written in the facilityâ€™s software, so that sort of takes longer because thereâ€™s all these sort of multiple steps. A lot of it is phone; certainly when Iâ€™m speaking to residents because thatâ€™s their preferred way. And then, if there is something I need to see Iâ€™ll often then get the nurse to take a device to the room"" (P1)",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Hanna, 2013","Other factors included the preferred mode of consult for both patients and RACF staff, as well as the need to have notes transferred from the GP to the RACFâ€™s software, which may not be accessible by GPs offsite. ""Iâ€™ve got a lot in aged care that are very competent to do that, but it still does then involve a follow up call to the facility. So whatever we do still needs to be interpreted and passed on and certainly the notes need to be written in the facilityâ€™s software, so that sort of takes longer because thereâ€™s all these sort of multiple steps. A lot of it is phone; certainly when Iâ€™m speaking to residents because thatâ€™s their preferred way. And then, if there is something I need to see Iâ€™ll often then get the nurse to take a device to the room"" (P1)",Barrier,Innovation,F. Compatibility
"Hanna, 2013","Other factors included the preferred mode of consult for both patients and RACF staff, as well as the need to have notes transferred from the GP to the RACFâ€™s software, which may not be accessible by GPs offsite. ""Iâ€™ve got a lot in aged care that are very competent to do that, but it still does then involve a follow up call to the facility. So whatever we do still needs to be interpreted and passed on and certainly the notes need to be written in the facilityâ€™s software, so that sort of takes longer because thereâ€™s all these sort of multiple steps. A lot of it is phone; certainly when Iâ€™m speaking to residents because thatâ€™s their preferred way. And then, if there is something I need to see Iâ€™ll often then get the nurse to take a device to the room"" (P1)",Barrier,Innovation,Preference
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Inner setting,J3. Materials & Equipment
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Inner setting,A1. Physical Infrastructure
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Inner setting,Governance
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Individuals,B. Capability
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Individuals,C. Opportunity
"Hardie, 2022","Technology (General): Both GPs and PHN stakeholders spoke about their concerns around technology barriers, with factors cited including poor infrastructure, time constraints (tasks taking longer to complete), digital competency of patients and lack of consistency in the types of technology used within and between practices. ""â€¦the barrier is the equipment that we have so, often GPs will move from room to room or practice to practice, you know itâ€™s not the same nice environment that can have it all set up and in different buildings, the WiFi will work in different ways, certainly ours doesnâ€™t work well at all where I generally sit. A lot of GPs are using their own iPhones, you know and doing facetime and stuff like that, or doing their own zoom so all of these sorts of external things are using our own devices, rather than equipment."" (P1)",Barrier,Innovation,Privacy
"Hardie, 2022","Privacy: GPs identified privacy risks resulting in hesitancy to use their own electronic devices for consultations, such as the fear of their private contact information being revealed. This highlighted a shortage of technical equipment supplied by practices to facilitate telehealth consultations. The issue of patients declining video consultations was also discussed, with GPs expressing that patients had voiced concerns about being seen on screen, potentially due to lack of privacy to take a video call. ""A lot of GPs are using their own iPhones, you know and doing Facetime and stuff like that, or doing their own Zoom so all of these sorts of external things are using our own devices, rather than equipment. And thatâ€™s the tricky bit as well about making sure that people donâ€™t get access to your private numbers and details."" (P1)",Barrier,Inner setting,J3. Materials & Equipment
"Hardie, 2022","Privacy: GPs identified privacy risks resulting in hesitancy to use their own electronic devices for consultations, such as the fear of their private contact information being revealed. This highlighted a shortage of technical equipment supplied by practices to facilitate telehealth consultations. The issue of patients declining video consultations was also discussed, with GPs expressing that patients had voiced concerns about being seen on screen, potentially due to lack of privacy to take a video call. ""A lot of GPs are using their own iPhones, you know and doing Facetime and stuff like that, or doing their own Zoom so all of these sorts of external things are using our own devices, rather than equipment. And thatâ€™s the tricky bit as well about making sure that people donâ€™t get access to your private numbers and details."" (P1)",Barrier,Innovation,Privacy
"Hardie, 2022","Eligibility: In Australia, the MBS sets rules around how and when telehealth may be used, and for the billing item numbers that GPs may claim,1 both of which have been modified several times since their initial release in early 2020. These ever-changing rules have created confusion among GPs and patients. Participants mentioned that receptionists often acted as gatekeepers, needing to screen patients for eligibility and staying abreast of rules not necessarily evident in online booking systems. ""â€¦if youâ€™re a new patient you canâ€™t go to any GP and ask for telehealth â€“ you have to have an established GP who youâ€™ve seen in the last 12 months. And if you look at MBS criteria for new patients for telehealth thereâ€™s about 10 different criteria that they have to either fit and itâ€™s impossible to screen people through these criteria and our receptionists are doing an amazing process of going through all of that because itâ€™s very hard, particularly a new patient to be booked in via an online platform because of these Medicare rules saying that you canâ€™t just use telehealth unless youâ€™re an established- so, unless you are seeing your own GP or any GP from the practice youâ€™ve consulted with in the last 12 months"". (P2)",Enabler,Individuals,G. Other Implementation Support
"Hardie, 2022","Eligibility: In Australia, the MBS sets rules around how and when telehealth may be used, and for the billing item numbers that GPs may claim,1 both of which have been modified several times since their initial release in early 2020. These ever-changing rules have created confusion among GPs and patients. Participants mentioned that receptionists often acted as gatekeepers, needing to screen patients for eligibility and staying abreast of rules not necessarily evident in online booking systems. ""â€¦if youâ€™re a new patient you canâ€™t go to any GP and ask for telehealth â€“ you have to have an established GP who youâ€™ve seen in the last 12 months. And if you look at MBS criteria for new patients for telehealth thereâ€™s about 10 different criteria that they have to either fit and itâ€™s impossible to screen people through these criteria and our receptionists are doing an amazing process of going through all of that because itâ€™s very hard, particularly a new patient to be booked in via an online platform because of these Medicare rules saying that you canâ€™t just use telehealth unless youâ€™re an established- so, unless you are seeing your own GP or any GP from the practice youâ€™ve consulted with in the last 12 months"". (P2)",Barrier,Outer setting,F. Financing
"Hardie, 2022","Eligibility: In Australia, the MBS sets rules around how and when telehealth may be used, and for the billing item numbers that GPs may claim,1 both of which have been modified several times since their initial release in early 2020. These ever-changing rules have created confusion among GPs and patients. Participants mentioned that receptionists often acted as gatekeepers, needing to screen patients for eligibility and staying abreast of rules not necessarily evident in online booking systems. ""â€¦if youâ€™re a new patient you canâ€™t go to any GP and ask for telehealth â€“ you have to have an established GP who youâ€™ve seen in the last 12 months. And if you look at MBS criteria for new patients for telehealth thereâ€™s about 10 different criteria that they have to either fit and itâ€™s impossible to screen people through these criteria and our receptionists are doing an amazing process of going through all of that because itâ€™s very hard, particularly a new patient to be booked in via an online platform because of these Medicare rules saying that you canâ€™t just use telehealth unless youâ€™re an established- so, unless you are seeing your own GP or any GP from the practice youâ€™ve consulted with in the last 12 months"". (P2)",Barrier,Outer setting,E. Policies & Laws
"Hardie, 2022","Technology (video): Stakeholders agreed that numerous barriers impacted the uptake of video as a viable telehealth consultation mode in its current format. GPs were concerned that with the resources available, video calls were time consuming and had a higher chance of failing compared with telephone consults.""â€¦especially with our equipment at work, it takes so much longer to do a video telehealth. And often they fail in one way or another; whether itâ€™s our end or their [the patient] end, and we have to revert to telephone anyway, so itâ€™s so frustrating"". (P1)",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Innovation,F. Compatibility
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Innovation,G. Innovation Design
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Innovation,Privacy
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Inner setting,J3. Materials & Equipment
"Hardie, 2022","Other concerns included that video software wasnâ€™t well integrated into patient management software, which has potential workflow impacts, and that video equipment shortages due to budget or supply issues prevented practices from utilising video telehealth to a greater extent.""The other clinic I have [name of software], a separate standalone software and then I have another separate standalone software for video calls. Thatâ€™s an added barrier for me and for the patient as well. So ideally if you have a system where video and telephone consults are locked into one single software, thatâ€™s much more useful"" (P2). ""â€¦probably cost as well. So [P1] talking about some GPs using their own phones; and so, some people donâ€™t want to do that, some people expect if I work for this practice, this practice should be providing equipment and if the practice doesnâ€™t see technology as the enabler for better health care, thatâ€™s a barrier in itself; just the way that different businesses then think about technology."" (P6)",Barrier,Inner setting,Governance
"Hardie, 2022","There was also discussion around patient hesitancy towards video consultations, with reasons including insecurity and lack of familiarity of communicating via video. ""â€¦thereâ€™s also a lot of people whoâ€™ve justâ€”we offer it to them and they just say no I donâ€™t want it, because I donâ€™t want to look at you, I donâ€™t want you looking at me. You know, everyone on the call here [focus group] is now very used to sitting on Zoom and we feel a lot less self-conscious, but you think back to twoâ€‰years ago, it wasnâ€™t a regular thing to be doing. And for a lot of patients, I think they theyâ€™ve got that sameâ€¦letâ€™s call it a, you know itâ€™s a fear of being seen via a different medium."" (P3)",Barrier,Innovation,Accessibility
"Hardie, 2022","There was also discussion around patient hesitancy towards video consultations, with reasons including insecurity and lack of familiarity of communicating via video. ""â€¦thereâ€™s also a lot of people whoâ€™ve justâ€”we offer it to them and they just say no I donâ€™t want it, because I donâ€™t want to look at you, I donâ€™t want you looking at me. You know, everyone on the call here [focus group] is now very used to sitting on Zoom and we feel a lot less self-conscious, but you think back to twoâ€‰years ago, it wasnâ€™t a regular thing to be doing. And for a lot of patients, I think they theyâ€™ve got that sameâ€¦letâ€™s call it a, you know itâ€™s a fear of being seen via a different medium."" (P3)",Barrier,Innovation,Preference
"Hardie, 2022","It was mentioned that patients may not be given the option of selecting a video call even if they prefer it, as online booking systems didnâ€™t specify any difference in consultation modes, leaving the decision up to the practice and GP. ""â€¦some practices donâ€™t actually offer video telehealth at all particular if youâ€™re doing an online appointment; thereâ€™s no selection for it, it says telehealth but it ends up just being telephone. And so, one of the barriers to video, I think, is the fact that itâ€™s actually not being offered in some sense through the online."" (P6)",Barrier,Innovation,G. Innovation Design
"Hardie, 2022","It was mentioned that patients may not be given the option of selecting a video call even if they prefer it, as online booking systems didnâ€™t specify any difference in consultation modes, leaving the decision up to the practice and GP. ""â€¦some practices donâ€™t actually offer video telehealth at all particular if youâ€™re doing an online appointment; thereâ€™s no selection for it, it says telehealth but it ends up just being telephone. And so, one of the barriers to video, I think, is the fact that itâ€™s actually not being offered in some sense through the online."" (P6)",Barrier,Innovation,Preference
"Hardie, 2022","It was mentioned that patients may not be given the option of selecting a video call even if they prefer it, as online booking systems didnâ€™t specify any difference in consultation modes, leaving the decision up to the practice and GP. ""â€¦some practices donâ€™t actually offer video telehealth at all particular if youâ€™re doing an online appointment; thereâ€™s no selection for it, it says telehealth but it ends up just being telephone. And so, one of the barriers to video, I think, is the fact that itâ€™s actually not being offered in some sense through the online."" (P6)",Barrier,Innovation,Accessibility
"Hardie, 2022","Quality of care: GPs discussed scenarios in which the quality of patient care could be compromised during a telehealth consultation. Reasons included the need for a physical examination during acute illness, as well as difficulty in performing other tasks important to the diagnostic pathway such as pathology referrals, which normally require a hard copy for the patient to bring to the pathology collection centre. ""From doctorsâ€™ factors point of view Iâ€™ve got three: the first one is an obvious one, particularly when it comes to acute careâ€”and I personally see a lot of patients on the day with acute issues: examinationâ€™s going to change management; if they have right sided abdominal pain, it could be appendix, it could be something else I need to examine them. If they come in with ankle injury, I need to examine them, apply certain rules to find out whether they need an x-ray and do x-ray appropriately otherwise Iâ€™ll be wasting resources."" (P2)",Barrier,Innovation,C. Innovation Relative Advantage
"Hardie, 2022","Quality of care: GPs discussed scenarios in which the quality of patient care could be compromised during a telehealth consultation. Reasons included the need for a physical examination during acute illness, as well as difficulty in performing other tasks important to the diagnostic pathway such as pathology referrals, which normally require a hard copy for the patient to bring to the pathology collection centre. ""From doctorsâ€™ factors point of view Iâ€™ve got three: the first one is an obvious one, particularly when it comes to acute careâ€”and I personally see a lot of patients on the day with acute issues: examinationâ€™s going to change management; if they have right sided abdominal pain, it could be appendix, it could be something else I need to examine them. If they come in with ankle injury, I need to examine them, apply certain rules to find out whether they need an x-ray and do x-ray appropriately otherwise Iâ€™ll be wasting resources."" (P2)",Barrier,Innovation,Suitability
"Hardie, 2022","Sociodemographic: Sociodemographic differences were also perceived by GPs to influence a patientâ€™s uptake of telehealth. The main factors mentioned were age and language.""â€¦[older persons] really, some of them are brilliant- Iâ€™ve got a 100 year oldâ€”you know very tech savvy, Iâ€™ve got lots of 60 year olds: no idea."" (P1). ""I know some other people have had issues with connecting to telehealthâ€”just two or three-way chat with the interpreter service; I donâ€™t even know if thatâ€™s possible. But definitely [indiscernible] a barrier, but we have a very diverse demographic that comes hereâ€¦"" (P4)",Barrier,Individuals,B. Capability
"Hardie, 2022","Sociodemographic: Sociodemographic differences were also perceived by GPs to influence a patientâ€™s uptake of telehealth. The main factors mentioned were age and language.""â€¦[older persons] really, some of them are brilliant- Iâ€™ve got a 100 year oldâ€”you know very tech savvy, Iâ€™ve got lots of 60 year olds: no idea."" (P1). ""I know some other people have had issues with connecting to telehealthâ€”just two or three-way chat with the interpreter service; I donâ€™t even know if thatâ€™s possible. But definitely [indiscernible] a barrier, but we have a very diverse demographic that comes hereâ€¦"" (P4)",Barrier,Innovation,Accessibility
"Hardie, 2022","They also described the impact on care due to changes to MBS policies and billing item numbers since the introduction of telehealth to general practice, such as confusion (for both practices and patients) about the types of consultations that could be billed during the several extensions. We didn't have access as GPs to telehealth [â€¦] before this pandemic. Only I did it with specialists with my patient and again they would have to drive, come into the clinic and then we'd have to set them up in a room, in a separate room and then you have to coordinate the specialist who was running out, the GP schedule and the patient schedule and the technology. Um, yeah there were always issues and it was very clunky because trying to get the three- two different doctorsâ€™ schedules together, and the patientâ€¦I mean we used it a lot, well I wouldnâ€™t say a lot, but we did use it with specialists but it was, you know, it was always difficult because you were trying to coordinate everything.",Barrier,Outer setting,F. Financing
"Hardie, 2022","They also described the impact on care due to changes to MBS policies and billing item numbers since the introduction of telehealth to general practice, such as confusion (for both practices and patients) about the types of consultations that could be billed during the several extensions. We didn't have access as GPs to telehealth [â€¦] before this pandemic. Only I did it with specialists with my patient and again they would have to drive, come into the clinic and then we'd have to set them up in a room, in a separate room and then you have to coordinate the specialist who was running out, the GP schedule and the patient schedule and the technology. Um, yeah there were always issues and it was very clunky because trying to get the three- two different doctorsâ€™ schedules together, and the patientâ€¦I mean we used it a lot, well I wouldnâ€™t say a lot, but we did use it with specialists but it was, you know, it was always difficult because you were trying to coordinate everything.",Barrier,Outer setting,E. Policies & Laws
"Hardie, 2022",â€¦thatâ€™s what the governmentâ€™s certainly covered with the new item number after withdrawing you know longer consults from us via telehealth which caused complete mayhem,Barrier,Outer setting,F. Financing
"Hardie, 2022",â€¦thatâ€™s what the governmentâ€™s certainly covered with the new item number after withdrawing you know longer consults from us via telehealth which caused complete mayhem,Barrier,Outer setting,E. Policies & Laws
"Hardie, 2022","â€œAnd it was: we had to be there with the patient and it was a telehealth appointment with a specialist; so it was a very different use of a service. [â€¦] I think rural was just because of distance you could actually do more with public hospitals; they were a nightmare to do, the technology never worked and, and I think I did â€“[â€¦] about a maximum of five [â€¦] and so we traveled to the aged care facility and sat there with the patient and then connected with the specialist so it was good in the point that you know very frail people didn't have to go and have a face- to- face appointment about a skin lesion first before we could book them directly into have a- you know an excision so it did assist with that, but it was a very clunkyâ€”so there was no telehealth that we could do without actually being there with the patient and physically being there during the consult.â€",Barrier,Innovation,C. Innovation Relative Advantage
